FighterID,Name,Height,Weight,Reach,DOB,SSPM,StrkACC,SSAbsPM,StrkDEF,TDAVG,TDACC,TDDEF,SUBAVG,Wins,Losses,WLDiff,Fire
d2d37e8eeb3abc8d,Frank Trigg,"5'9""",170,71,1972,2.79,0.46,1.9,0.56,2.35,0.47,0.75,0.8,8,5,3,-1
01f86e2d604e2f3c,Yoko Takahashi,"5'8""",150,,1973,5.11,0.54,8.78,0.48,0,0,0,0,0,1,-1,-1
0d16bdb7d32e88e9,Hiroyuki Takaya,"5'6""",139,,1977,3.18,0.33,3.16,0.6,0.9,0.45,0.66,0,8,6,2,-1
971aebf56267de20,Desmond Torres,"5'6""",135,69,1997,4.8,0.64,11.78,0.48,0,0,1,0,0,1,-1,-1
319c15b8aac5bfde,Noah Thomas,"5'9""",135,,1981,0.44,0.13,4.99,0.33,0,0,0,1.3,0,2,-2,-1
078b732efa497f49,Kasey Tanner,"5'7""",135,69,1992,6.6,0.5,6.67,0.63,2,0.33,0,0,0,1,-1,-1
a8283a4f415e1eb9,Francisco Trinaldo,"5'9""",170,70,1978,3.13,0.45,2.67,0.6,0.98,0.42,0.6,0.5,18,8,10,-1
ff6a1f63c254127e,Albert Tumenov,"5'11""",170,73,1991,3.76,0.42,3.34,0.58,0.2,0.2,0.75,0,5,3,2,-1
5bb70ebd65075c5c,Shawn Teed,"6'5""",265,,1992,1.4,0.42,13.31,0.21,0,0,0,0,0,1,-1,-1
57481f1f10530c61,Ryan Tobar,,155,,  --,0,0,0,0,0,0,0,0,0,0,0,0
30e8b4505f5ccf92,Kiyoshi Tamura,"5'11""",185,,1969,2.44,0.53,1.44,0.6,0.58,0.6,0.45,0.2,7,4,3,2.4
04076783ca83d6ae,Minoru Toyonaga,"5'11""",195,,  --,0,0,0,0,0,0,0,0,0,1,-1,-1
1d1b85389a05df69,Chris Tickle,"5'9""",155,,1982,1.07,0.4,1.13,0.43,1,0.25,0.2,2,0,1,-1,-1
97a6bbe6e6566a94,Francisco Trevino,"5'9""",155,70,1981,2.65,0.42,2.42,0.64,0.97,0.22,0.41,0,1,2,-1,-1
5befa793316d3469,James Terry,"5'10""",170,,1981,3.23,0.32,4.77,0.64,3.31,0.36,0.75,0,6,4,2,-1
a566371ba2ad7152,Josh Thomson,"5'10""",155,71,1978,2.59,0.47,2.12,0.64,1.92,0.39,0.54,1.3,15,8,7,-1
4461d7e47375a895,Tatsuro Taira,"5'7""",125,70,2000,3.23,0.69,1.26,0.47,2.41,0.41,0.6,2.8,4,0,4,2.88
9bf126927843e184,Joe Taimanglo,"5'4""",135,,1984,4.18,0.42,4.55,0.59,5.45,0.4,1,1.4,0,0,0,0
6d48a2df51749d91,Antonio Trocoli,"6'5""",205,82,1990,1.27,0.71,4.56,0.25,3.8,1,1,3.8,0,0,0,0
c9cf753cfdf77fc2,Marcin Tybura,"6'3""",249,78,1985,3.55,0.48,3.35,0.55,1.39,0.33,0.79,0.1,11,7,4,-1
d2036f31c035e0d1,Jose Torres,"5'4""",125,65,1992,4.37,0.36,9.84,0.5,1.28,0.33,0.75,0,1,1,0,-1
